Type,Parameter,Module,Drinking Standard,Standard Agriculture,First Sample, Second  Sample,Third Sample,Fourth Sample,Fifth Sample 
K16,Na,ppm,200,-,44.1,32.4,25.8,30.3,19.87
K16,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
K16,Opacity,NTU,≤1(5),50,22.33,12.27,14.4,10.21,8.86
K16,Oxygen Solution,ppm,-,2,8.3,6.1,6.3,7.2,5.3
K16,P,ppm,-,-,0.03,0.11,62,0.24,0.31
K16,Pb,ppm,0.01,1,0.005,0.48,0.005,0.11,0.005
K16,pH,-,6.5-8.5(9),5.4-6.8,7.2,7.32,7.21,7.78,7.92
K16,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
K16,Se,ppm,0.01,0.02,0.31,0.26,0.13,0.32,0.07
K16,Si,ppm,-,-,10.9,8.3,5.71,8.54,7.61
K16,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K16,Sr,ppm,7,-,1.14,1.36,1.17,0.92,1.28
K16,Temperature,◦C,-,-,15.8,18.4,23,24.9,21.3
K16,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
K16,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K16,TOC,ppm,2,4,0.281,0.349,0.131,0.286,0.296
K16,Total Soluble Solids,ppm,1000(1500),-,577.8,463.3,590,411.2,556.1
K16,V,ppm,0.1,0.1,0.005,0.005,0.53,0.005,0.005
K16,Zn,ppm,3,2,0.005,0.73,0.18,0.005,0.005
K17,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
K17,Al,ppm,0.1(0.2),5,0.16,0.64,0.13,0.21,0.09
K17,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
K17,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
K17,Ba,ppm,0.7,1,0.005,0.03,0.005,0.005,0.005
K17,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
K17,Br-,ppm,(6)2,-,1.07,0.95,0.41,0.08,0.92
K17,Ca,ppm,300,-,40.2,45.7,44.8,54.3,68.4
K17,Cd,ppm,3,0.01,1,1,1,1,1
K17,Cl-,ppm,250(400),600,29.3,36.2,38.9,28.4,30.07
